Country (region)	Ladder	SD of Ladder	Positive affect
Finland	1	4	41
Denmark	2	13	24
Norway	3	8	16
Iceland	4	9	3
Netherlands	5	1	12
Switzerland	6	11	44
Sweden	7	18	34
New Zealand	8	15	22
Canada	9	23	18
Austria	10	10	64
Australia	11	26	47
Costa Rica	12	62	4
Israel	13	14	104
Luxembourg	14	3	62
United Kingdom	15	16	52
Ireland	16	34	33
Germany	17	17	65
Belgium	18	7	57
United States	19	49	35
Czech Republic	20	20	74
United Arab Emirates	21	65	43
Malta	22	42	83
Mexico	23	76	6
France	24	19	56
Taiwan	25	37	17
Chile	26	61	15
Guatemala	27	136	8
Saudi Arabia	28	93	49
Qatar	29	86	
Spain	30	21	107
Panama	31	121	7
Brazil	32	116	69
Uruguay	33	88	10
Singapore	34	5	38
El Salvador	35	112	23
Italy	36	31	99
Bahrain	37	83	39
Slovakia	38	39	53
Trinidad and Tobago	39	89	14
Poland	40	28	76
Uzbekistan	41	99	19
Lithuania	42	55	138
Colombia	43	120	30
Slovenia	44	54	114
Nicaragua	45	133	31
Kosovo	46	107	71
Argentina	47	97	28
Romania	48	75	80
Cyprus	49	95	60
Ecuador	50	113	11
Kuwait	51	98	89
Thailand	52	81	20
Latvia	53	30	119
South Korea	54	57	101
Estonia	55	32	50
Jamaica	56	102	51
Mauritius	57	94	55
Japan	58	43	73
Honduras	59	151	13
Kazakhstan	60	40	81
Bolivia	61	71	70
Hungary	62	36	86
Paraguay	63	90	1
Northern Cyprus	64	35	144
Peru	65	114	36
Portugal	66	73	97
Pakistan	67	53	130
Russia	68	64	96
Philippines	69	119	42
Serbia	70	100	148
Moldova	71	45	133
Libya	72	115	85
Montenegro	73	84	143
Tajikistan	74	50	120
Croatia	75	29	122
Hong Kong	76	33	105
Dominican Republic	77	155	66
Bosnia and Herzegovina 	78	80	116
Turkey	79	58	154
Malaysia	80	12	25
Belarus	81	22	149
Greece	82	87	102
Mongolia	83	48	95
Macedonia	84	67	140
Nigeria	85	130	61
Kyrgyzstan	86	46	58
Turkmenistan	87	2	135
Algeria	88	56	113
Morocco	89	101	110
Azerbaijan	90	24	134
Lebanon	91	60	150
Indonesia	92	108	9
China	93	72	21
Vietnam	94	27	121
Bhutan	95	6	37
Cameroon	96	131	106
Bulgaria	97	47	117
Ghana	98	129	92
Ivory Coast	99	134	88
Nepal	100	128	137
Jordan	101	127	112
Benin	102	149	118
Congo (Brazzaville)	103	152	124
Gabon	104	105	111
Laos	105	59	5
South Africa	106	124	40
Albania	107	126	90
Venezuela	108	141	77
Cambodia	109	135	27
Palestinian Territories	110	110	128
Senegal	111	44	68
Somalia	112	74	2
Namibia	113	106	75
Niger	114	144	79
Burkina Faso	115	92	115
Armenia	116	82	126
Iran	117	109	109
Guinea	118	146	82
Georgia	119	51	141
Gambia	120	142	29
Kenya	121	118	59
Mauritania	122	68	94
Mozambique	123	154	108
Tunisia	124	79	147
Bangladesh	125	52	145
Iraq	126	147	151
Congo (Kinshasa)	127	78	125
Mali	128	96	48
Sierra Leone	129	153	139
Sri Lanka	130	91	32
Myanmar	131	70	45
Chad	132	139	136
Ukraine	133	69	131
Ethiopia	134	38	100
Swaziland	135	104	26
Uganda	136	148	91
Egypt	137	66	146
Zambia	138	145	84
Togo	139	103	123
India	140	41	93
Liberia	141	156	103
Comoros	142	143	67
Madagascar	143	77	46
Lesotho	144	150	72
Burundi	145	138	98
Zimbabwe	146	123	63
Haiti	147	111	142
Botswana	148	125	87
Syria	149	137	155
Malawi	150	132	129
Yemen	151	85	153
Rwanda	152	63	54
Tanzania	153	122	78
Afghanistan	154	25	152
Central African Republic	155	117	132
South Sudan	156	140	127
